detector,accuracy,precision,recall,f1,specificity,f1_std,sybil_rate,seed,fit_time_s,attack_model
IQR Speed Threshold,0.3332,0.3332,1.0,0.4999,0.0,0.0,35,123,0.04,split_position
RSU Position Verification,0.8624,0.8218,0.7495,0.784,0.9188,0.0,35,123,8.21,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,35,123,0.58,split_position
Random Forest,0.9996,0.9987,1.0,0.9994,0.9993,0.0004,35,123,1.94,split_position
LSTM,0.96,1.0,0.875,0.9333,1.0,0.0,35,123,12.47,split_position
Dynamic k-Means,0.9979,0.9938,1.0,0.9969,0.9969,0.0,35,123,0.06,split_position
IQR Speed Threshold,1.0,1.0,1.0,1.0,1.0,0.0,40,123,0.03,split_position
RSU Position Verification,0.8667,0.922,0.7233,0.8107,0.9601,0.0,40,123,7.56,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,40,123,0.59,split_position
Random Forest,0.9997,0.9992,1.0,0.9996,0.9995,0.0004,40,123,1.79,split_position
LSTM,0.8889,0.8889,0.8,0.8421,0.9412,0.0,40,123,10.18,split_position
Dynamic k-Means,0.9898,0.9748,1.0,0.9873,0.9832,0.0,40,123,0.06,split_position
IQR Speed Threshold,0.0548,0.0548,1.0,0.1038,0.0,0.0,5,456,0.03,split_position
RSU Position Verification,0.9298,0.4256,0.8067,0.5572,0.9369,0.0,5,456,8.14,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,5,456,0.44,split_position
Random Forest,0.9983,0.998,0.9732,0.9852,0.9998,0.0154,5,456,1.76,split_position
LSTM,0.9444,0.0,0.0,0.0,1.0,0.0,5,456,9.41,split_position
Dynamic k-Means,0.9988,0.9783,1.0,0.989,0.9987,0.0,5,456,0.04,split_position
IQR Speed Threshold,0.0552,0.0552,1.0,0.1046,0.0,0.0,10,456,0.04,split_position
RSU Position Verification,0.9896,1.0,0.8124,0.8965,1.0,0.0,10,456,7.3,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,10,456,0.41,split_position
Random Forest,0.9976,0.9949,0.9601,0.976,0.9997,0.0395,10,456,1.41,split_position
LSTM,0.9444,0.0,0.0,0.0,1.0,0.0,10,456,9.36,split_position
Dynamic k-Means,0.9988,0.9784,1.0,0.9891,0.9987,0.0,10,456,0.05,split_position
IQR Speed Threshold,0.1067,0.1067,1.0,0.1928,0.0,0.0,15,456,0.04,split_position
RSU Position Verification,1.0,1.0,1.0,1.0,1.0,0.0,15,456,8.04,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,15,456,0.42,split_position
Random Forest,0.9961,0.9975,0.9624,0.9782,0.9998,0.0423,15,456,1.59,split_position
LSTM,0.6316,0.1429,0.5,0.2222,0.6471,0.0,15,456,8.46,split_position
Dynamic k-Means,0.9007,0.5179,1.0,0.6824,0.8888,0.0,15,456,0.04,split_position
IQR Speed Threshold,0.1988,0.1988,1.0,0.3317,0.0,0.0,20,456,0.03,split_position
RSU Position Verification,0.9443,0.7812,1.0,0.8772,0.9305,0.0,20,456,7.12,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,20,456,0.47,split_position
Random Forest,0.9999,0.9995,1.0,0.9997,0.9999,0.0005,20,456,1.63,split_position
LSTM,0.9524,1.0,0.75,0.8571,1.0,0.0,20,456,8.48,split_position
Dynamic k-Means,0.957,0.9845,0.7963,0.8805,0.9969,0.0,20,456,0.05,split_position
IQR Speed Threshold,0.2282,0.2282,1.0,0.3716,0.0,0.0,25,456,0.04,split_position
RSU Position Verification,0.9806,0.9217,1.0,0.9592,0.9749,0.0,25,456,7.19,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,25,456,0.48,split_position
Random Forest,1.0,1.0,1.0,1.0,1.0,0.0,25,456,1.53,split_position
LSTM,0.7273,0.3333,0.2,0.25,0.8824,0.0,25,456,8.82,split_position
Dynamic k-Means,0.9978,0.9905,1.0,0.9952,0.9972,0.0,25,456,0.05,split_position
IQR Speed Threshold,0.2834,0.2834,1.0,0.4416,0.0,0.0,30,456,0.04,split_position
RSU Position Verification,0.8993,0.9365,0.6916,0.7956,0.9815,0.0,30,456,7.59,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,30,456,0.54,split_position
