detector,accuracy,precision,recall,f1,specificity,f1_std,sybil_rate,seed,fit_time_s
Dynamic k-Means,0.9987,0.9787,1.0,0.9892,0.9986,0.0,10,456,0.29
IQR Speed Threshold,0.1127,0.1127,1.0,0.2026,0.0,0.0,15,456,0.3
RSU Position Verification,0.8873,0.0,0.0,0.0,1.0,0.0,15,456,61.89
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,15,456,2.26
Random Forest,0.969,0.881,0.8451,0.8578,0.9855,0.0537,15,456,13.93
LSTM,0.8947,0.0,0.0,0.0,1.0,0.0,15,456,92.19
Dynamic k-Means,0.9633,0.7543,1.0,0.86,0.9586,0.0,15,456,0.51
IQR Speed Threshold,0.2143,0.2143,1.0,0.353,0.0,0.0,20,456,0.28
RSU Position Verification,0.7857,0.0,0.0,0.0,1.0,0.0,20,456,64.32
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,20,456,2.18
Random Forest,0.9713,0.9137,0.9659,0.9383,0.9725,0.0254,20,456,7.05
LSTM,0.7619,0.0,0.0,0.0,0.9412,0.0,20,456,31.73
Dynamic k-Means,0.9915,0.962,1.0,0.9806,0.9892,0.0,20,456,0.11
IQR Speed Threshold,0.2554,0.2554,1.0,0.4069,0.0,0.0,25,456,0.06
RSU Position Verification,0.7446,0.0,0.0,0.0,1.0,0.0,25,456,10.19
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,25,456,0.57
Random Forest,0.9663,0.9066,0.9697,0.937,0.9649,0.0113,25,456,2.75
LSTM,0.6818,0.3333,0.4,0.3636,0.7647,0.0,25,456,15.58
Dynamic k-Means,0.9916,0.9681,1.0,0.9838,0.9887,0.0,25,456,0.08
IQR Speed Threshold,0.2894,0.2894,1.0,0.4489,0.0,0.0,30,456,0.06
RSU Position Verification,0.7106,0.0,0.0,0.0,1.0,0.0,30,456,9.81
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,30,456,0.59
Random Forest,0.9707,0.9302,0.9762,0.9524,0.9679,0.0103,30,456,2.85
LSTM,0.9565,0.8571,1.0,0.9231,0.9412,0.0,30,456,17.41
Dynamic k-Means,0.9912,0.9703,1.0,0.9849,0.9875,0.0,30,456,0.08
IQR Speed Threshold,0.3497,0.3497,1.0,0.5182,0.0,0.0,35,456,0.06
RSU Position Verification,0.6503,0.0,0.0,0.0,1.0,0.0,35,456,10.71
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,35,456,0.72
